name,smarts,S_k,S_t,S_e,depth,n_atoms
daylight_examples.smarts_191,[oX2r5],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_192,[nX2r5],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_193,"[X4;R2;r4,r5,r6](@[r4,r5,r6])(@[r4,r5,r6])(@[r4,r5,r6])@[r4,r5,r6]",0.2222222222222222,0.0,0.7757201646090535,9,5
daylight_examples.smarts_194,"[$([nX2r5]:[a-]),$([nX2r5]:[a]:[a-])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_195,"*/,\[R]=;@[R]/,\*",0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_196,"*/,\[R]=,:;@[R]/,\*",0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_197,[cR1]1[cR1][cR1][cR1][cR1][cR1]1,0.0,0.7499957662280479,0.0,12,6
daylight_examples.smarts_198,[cR1]1[cR1][cR1][cR1][cR1][cR1]1.[cR1]1[cR1][cR1][cR1][cR1][cR1]1,0.0,0.7499957662280479,0.0,24,12
daylight_examples.smarts_199,c12ccccc1cccc2,0.0,0.7499957662280479,0.0,21,10
daylight_examples.smarts_200,"[NX3,NX4+][CX4H]([*])[CX3](=[OX1])[O,N]",0.18181818181818182,0.2121212121212121,0.7720414016710313,11,6
daylight_examples.smarts_201,"[$([$([NX3H,NX4H2+]),$([NX3](C)(C)(C))]1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[OX2H,OX1-,N]),$([$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H2][CX3](=[OX1])[OX2H,OX1-,N]),$([$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H]([*])[CX3](=[OX1])[OX2H,OX1-,N])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_202,"[$([NX3H,NX4H2+]),$([NX3](C)(C)(C))]1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[OX2H,OX1-,N]",0.21875,0.19791666666666666,0.749923792104862,16,8
